0.000000000000E+00	5.536601614362E-01	0.000000000000E+00	4.463398385638E-01
7.604508710090E-02	4.771584568368E-01	1.360476065804E-01	3.107488494819E-01
1.057298274336E-01	4.736114125704E-01	1.608216369179E-01	2.598371230781E-01
1.724252624208E-01	4.951564977956E-01	1.590376869435E-01	1.733805528401E-01
2.680101145812E-01	4.629161748809E-01	1.992134355378E-01	6.986027500013E-02
3.047483841613E-01	4.329225526313E-01	2.408485148451E-01	2.148054836236E-02
3.161032818695E-01	3.831867872731E-01	3.007099308574E-01	0.000000000000E+00
3.065795754444E-01	3.686068788773E-01	3.248135456782E-01	0.000000000000E+00
3.180516903080E-01	3.219512298615E-01	3.599970798306E-01	0.000000000000E+00
3.382996201010E-01	2.959620057053E-01	3.657383741938E-01	0.000000000000E+00
3.464194872369E-01	2.487718751298E-01	4.048086376333E-01	0.000000000000E+00
3.502654654988E-01	1.953534022940E-01	4.543811322072E-01	0.000000000000E+00
3.546491185269E-01	1.648925351305E-01	4.804583463426E-01	0.000000000000E+00
3.935584191830E-01	1.243556924450E-01	4.820858883720E-01	0.000000000000E+00
4.692796439866E-01	8.952996469865E-02	4.411903913148E-01	0.000000000000E+00
5.523970848920E-01	5.897023438064E-02	3.886326807274E-01	0.000000000000E+00
5.227786633740E-01	0.000000000000E+00	4.772213366260E-01	0.000000000000E+00
5.160713889628E-01	0.000000000000E+00	4.839286110372E-01	0.000000000000E+00
0.000000000000E+00	1.000000000000E+00	0.000000000000E+00	0.000000000000E+00
